Time [s],Channel 0
2021-07-16T20:05:10.465932167+00:00,0
2021-07-16T20:05:10.466420500+00:00,1
2021-07-16T20:05:10.467594833+00:00,0
2021-07-16T20:05:10.468087750+00:00,1
2021-07-16T20:05:10.469262250+00:00,0
2021-07-16T20:05:10.469755250+00:00,1
2021-07-16T20:05:10.470105250+00:00,0
2021-07-16T20:05:10.470598250+00:00,1
2021-07-16T20:05:10.470952833+00:00,0
2021-07-16T20:05:10.471441167+00:00,1
2021-07-16T20:05:10.471795750+00:00,0
2021-07-16T20:05:10.472288750+00:00,1
2021-07-16T20:05:10.472652583+00:00,0
2021-07-16T20:05:10.473140833+00:00,1
2021-07-16T20:05:10.473495500+00:00,0
2021-07-16T20:05:10.473983833+00:00,1
2021-07-16T20:05:10.474338417+00:00,0
2021-07-16T20:05:10.474831417+00:00,1
2021-07-16T20:05:10.475186000+00:00,0
2021-07-16T20:05:10.475674333+00:00,1
2021-07-16T20:05:10.476028917+00:00,0
2021-07-16T20:05:10.476521833+00:00,1
2021-07-16T20:05:10.476876417+00:00,0
2021-07-16T20:05:10.477364750+00:00,1
2021-07-16T20:05:10.477719333+00:00,0
2021-07-16T20:05:10.478212333+00:00,1
2021-07-16T20:05:10.478566917+00:00,0
2021-07-16T20:05:10.479059917+00:00,1
2021-07-16T20:05:10.479419167+00:00,0
2021-07-16T20:05:10.479912083+00:00,1
2021-07-16T20:05:10.480262083+00:00,0
2021-07-16T20:05:10.480755000+00:00,1
2021-07-16T20:05:10.481109500+00:00,0
2021-07-16T20:05:10.481597833+00:00,1
2021-07-16T20:05:10.481952333+00:00,0
2021-07-16T20:05:10.482445333+00:00,1
2021-07-16T20:05:10.482799833+00:00,0
2021-07-16T20:05:10.483292750+00:00,1
2021-07-16T20:05:10.483642667+00:00,0
2021-07-16T20:05:10.484135583+00:00,1
2021-07-16T20:05:10.484490167+00:00,0
2021-07-16T20:05:10.484983083+00:00,1
2021-07-16T20:05:10.485337667+00:00,0
2021-07-16T20:05:10.485825917+00:00,1
2021-07-16T20:05:10.486189750+00:00,0
2021-07-16T20:05:10.486682667+00:00,1
2021-07-16T20:05:10.487032583+00:00,0
2021-07-16T20:05:10.487525500+00:00,1
2021-07-16T20:05:10.487875583+00:00,0
2021-07-16T20:05:10.488368583+00:00,1
2021-07-16T20:05:10.488723250+00:00,0
2021-07-16T20:05:10.489216250+00:00,1
2021-07-16T20:05:10.489570917+00:00,0
2021-07-16T20:05:10.490059333+00:00,1
2021-07-16T20:05:10.490414000+00:00,0
2021-07-16T20:05:10.490907000+00:00,1
2021-07-16T20:05:10.491261583+00:00,0
2021-07-16T20:05:10.491749917+00:00,1
2021-07-16T20:05:10.492104583+00:00,0
2021-07-16T20:05:10.492597500+00:00,1
2021-07-16T20:05:10.492956750+00:00,0
2021-07-16T20:05:10.493449833+00:00,1
2021-07-16T20:05:10.493799833+00:00,0
2021-07-16T20:05:10.494292750+00:00,1
2021-07-16T20:05:10.494647333+00:00,0
2021-07-16T20:05:10.495135750+00:00,1
2021-07-16T20:05:10.495490333+00:00,0
2021-07-16T20:05:10.495983333+00:00,1
2021-07-16T20:05:10.496337917+00:00,0
2021-07-16T20:05:10.496826167+00:00,1
2021-07-16T20:05:10.497180667+00:00,0
2021-07-16T20:05:10.497673583+00:00,1
2021-07-16T20:05:10.498028083+00:00,0
2021-07-16T20:05:10.498521000+00:00,1
2021-07-16T20:05:10.498875583+00:00,0
2021-07-16T20:05:10.499363833+00:00,1
2021-07-16T20:05:10.499727583+00:00,0
2021-07-16T20:05:10.500215917+00:00,1
2021-07-16T20:05:10.500570417+00:00,0
2021-07-16T20:05:10.501058750+00:00,1
2021-07-16T20:05:10.501417917+00:00,0
2021-07-16T20:05:10.501906250+00:00,1
2021-07-16T20:05:10.502260917+00:00,0
2021-07-16T20:05:10.502749333+00:00,1
2021-07-16T20:05:10.503108583+00:00,0
2021-07-16T20:05:10.503596833+00:00,1
2021-07-16T20:05:10.503951500+00:00,0
2021-07-16T20:05:10.504439833+00:00,1
2021-07-16T20:05:10.504799000+00:00,0
2021-07-16T20:05:10.505287417+00:00,1
2021-07-16T20:05:10.505642083+00:00,0
2021-07-16T20:05:10.506135167+00:00,1
2021-07-16T20:05:10.506499000+00:00,0
2021-07-16T20:05:10.506987417+00:00,1
2021-07-16T20:05:10.508162083+00:00,0
2021-07-16T20:05:10.508655083+00:00,1
2021-07-16T20:05:10.509009750+00:00,0
2021-07-16T20:05:10.509498167+00:00,1
2021-07-16T20:05:10.510672917+00:00,0
2021-07-16T20:05:10.511161250+00:00,1
2021-07-16T20:05:10.511520583+00:00,0
2021-07-16T20:05:10.512009000+00:00,1
2021-07-16T20:05:10.512363583+00:00,0
2021-07-16T20:05:10.512852000+00:00,1
2021-07-16T20:05:10.513211167+00:00,0
2021-07-16T20:05:10.513699500+00:00,1
2021-07-16T20:05:10.514878667+00:00,0
2021-07-16T20:05:10.515367000+00:00,1
2021-07-16T20:05:10.515726250+00:00,0
2021-07-16T20:05:10.516219167+00:00,1
2021-07-16T20:05:13.037449667+00:00,1
